name,X,Y,Z,normal_x,normal_y,normal_z,angle
Cz,0,-8,0,-0.233102098,-0.44047156,0.8669765,29.89083051
Detector-0001,-8.0470863,3.0208054,-5.7502052,-0.859750211,0.35443753,0.367700398,68.42613284
Detector-0002,-2.8477661,2.8550888,-1.0231415,-0.216801852,0.324107796,0.920842588,22.95042428
Detector-0003,-3.5375877,7.9191193,-5.8151024,-0.274670929,0.890703976,0.362218648,68.76348954
Detector-0004,-0.0100427,5.8443817,-2.3071373,0.036699127,0.668639421,0.742680609,42.03973579
Detector-0005,2.84776611,2.8550888,-1.0231415,0.216801852,0.324107796,0.920842588,22.95042428
Detector-0006,3.53758774,7.9191193,-5.8151024,0.274670929,0.890703976,0.362218648,68.76348954
Detector-0007,8.04708633,3.0208054,-5.7502052,0.859750211,0.35443753,0.367700398,68.42613284
Detector-0008,5.98388825,4.770462,-3.8746445,0.650802374,0.412499934,0.63741672,50.40053962
Detector-0009,9.3083046,-3.08441277,-6.3994392,0.953923881,-0.017520478,0.299536586,72.57022718
Detector-0010,6.44544525,-0.94530487,-2.0754852,0.642333686,0.130806759,0.75518018,40.95888568
Detector-0011,7.10002289,-7.01294308,-3.6715355,0.73797369,-0.328390032,0.58953774,53.87578768
Detector-0012,3.48112526,-3.74881744,-0.263311,0.358393043,-0.02628631,0.933200657,21.06063388
Detector-0013,-3.4811253,-3.74881744,-0.263311,-0.358393043,-0.02628631,0.933200657,21.06063388
Detector-0014,-6.4454453,-0.94530487,-2.0754852,-0.642333686,0.130806759,0.75518018,40.95888568
Detector-0015,-7.1000229,-7.01294308,-3.6715355,-0.73797369,-0.328390032,0.58953774,53.87578768
Detector-0016,-9.3083046,-3.08441277,-6.3994392,-0.953923881,-0.017520478,0.299536586,72.57022718
Fz,0,-4.30245438,0.44674301,-0.20338057,-0.104143746,0.973545372,13.20842558
Source-0001,-6.1484238,1.65061188,-2.3081093,-0.579890013,0.285785407,0.76292491,40.27727037
Source-0002,-6.5943977,6.5662262,-7.5169357,-0.778390706,0.609099746,0.152004749,81.25687542
Source-0003,-3.6142269,5.9489761,-3.1007027,-0.306475908,0.596396804,0.741878331,42.10833821
Source-0004,-0.4156443,3.3613487,-0.818087,-0.153145701,0.381602257,0.911551476,24.27935711
Source-0005,-0.0391392,8.5203003,-5.8581154,-0.078684971,0.933873117,0.348840326,69.58359719
Source-0006,3.61422691,5.9489761,-3.1007027,0.306475908,0.596396804,0.741878331,42.10833821
Source-0007,6.14842377,1.65061188,-2.3081093,0.579890013,0.285785407,0.76292491,40.27727037
Source-0008,6.59439774,6.5662262,-7.5169357,0.778390706,0.609099746,0.152004749,81.25687542
Source-0009,8.99496918,-0.33857498,-5.9299965,0.926475167,0.088759869,0.365739495,68.54689742
Source-0010,7.01193085,-3.5105751,-2.4917725,0.684780121,-0.073508009,0.725033045,43.52840967
Source-0011,3.00239029,-1.10362778,-0.1660461,0.250969321,0.078176238,0.964833081,15.24003034
Source-0012,3.71250382,-7.0138401,-0.9121422,0.363103867,-0.384030581,0.848926425,31.90490644
Source-0013,-3.0023903,-1.10362778,-0.1660461,-0.250969321,0.078176238,0.964833081,15.24003034
Source-0014,-3.7125038,-7.0138401,-0.9121422,-0.363103867,-0.384030581,0.848926425,31.90490644
Source-0015,-7.0119308,-3.5105751,-2.4917725,-0.684780121,-0.073508009,0.725033045,43.52840967
Source-0016,-8.9949692,-0.33857498,-5.9299965,-0.926475167,0.088759869,0.365739495,68.54689742
