name,X,Y,Z,normal_x,normal_y,normal_z
Detector-0001,-6.4987,4.959,1.0244,-0.83176,0.532119,0.158189
Detector-0002,-2.948,6.0438,5.7351,-0.431727,0.658959,0.615942
Detector-0003,-2.923,8.5182,-1.4189,-0.405225,0.90705,0.114248
Detector-0004,-0.004,8.339,3.1683,0.003593,0.947012,0.321178
Detector-0005,2.8847,6.0759,5.7469,0.421674,0.658217,0.623652
Detector-0006,2.9184,8.5158,-1.3797,0.391536,0.914274,0.103935
Detector-0007,6.438,5.037,1.0803,0.829557,0.532662,0.16765
Detector-0008,5.0512,6.633,1.6939,0.705812,0.685612,0.17823
Detector-0009,8.3687,-1.1831,2.5487,0.981806,0.149493,0.117082
Detector-0010,6.2315,2.4986,5.308,0.780559,0.386186,0.491516
Detector-0011,6.9044,-4.6885,6.6427,0.801736,-0.199486,0.563405
Detector-0012,3.8717,-0.8599,9.0282,0.467422,0.23146,0.853196
Detector-0013,-3.9835,-0.9543,8.9911,-0.482484,0.228904,0.845466
Detector-0014,-6.31,2.3879,5.2682,-0.780651,0.397941,0.481899
Detector-0015,-6.9286,-4.8011,6.5668,-0.797113,-0.214938,0.564281
Detector-0016,-8.4098,-1.3846,2.4756,-0.982179,0.154956,0.10636
Detector-0017,-4.5912994,6.213028,3.7362328,-0.576602,0.706213,0.410845
Detector-0018,5.6154053,5.0504814,3.7073811,0.812011,0.479802,0.332308
Detector-0019,7.9048592,1.3044332,1.9834261,0.971813,0.217191,0.091688
Detector-0020,7.2309799,-1.7856049,6.3285095,0.835388,0.046321,0.547705
Source-0001,-6.1484238,1.65061188,-2.3081093,-0.579890013,0.285785407,0.76292491
Source-0002,-6.5943977,6.5662262,-7.5169357,-0.778390706,0.609099746,0.152004749
Source-0003,-3.6142269,5.9489761,-3.1007027,-0.306475908,0.596396804,0.741878331
Source-0004,-0.4156443,3.3613487,-0.818087,-0.153145701,0.381602257,0.911551476
Source-0005,-0.0391392,8.5203003,-5.8581154,-0.078684971,0.933873117,0.348840326
Source-0006,3.61422691,5.9489761,-3.1007027,0.306475908,0.596396804,0.741878331
Source-0007,6.14842377,1.65061188,-2.3081093,0.579890013,0.285785407,0.76292491
Source-0008,6.59439774,6.5662262,-7.5169357,0.778390706,0.609099746,0.152004749
Source-0009,8.99496918,-0.33857498,-5.9299965,0.926475167,0.088759869,0.365739495
Source-0010,7.01193085,-3.5105751,-2.4917725,0.684780121,-0.073508009,0.725033045
Source-0011,3.00239029,-1.10362778,-0.1660461,0.250969321,0.078176238,0.964833081
Source-0012,3.71250382,-7.0138401,-0.9121422,0.363103867,-0.384030581,0.848926425
Source-0013,-3.0023903,-1.10362778,-0.1660461,-0.250969321,0.078176238,0.964833081
Source-0014,-3.7125038,-7.0138401,-0.9121422,-0.363103867,-0.384030581,0.848926425
Source-0015,-7.0119308,-3.5105751,-2.4917725,-0.684780121,-0.073508009,0.725033045
Source-0016,-8.9949692,-0.33857498,-5.9299965,-0.926475167,0.088759869,0.365739495
